Index	Action Index	Error	Time	Library ID	Well Position	Script Class	Script Function	Active Script	Action	Comment	Parameter Name	Parameter Value	Message	
1	1	False	04/18/2025 14:11:41.901			AS Client	AS Client	ASMain	Comment	AS Client Version: 10.0.3				
2	1	False	04/18/2025 14:11:41.901			AS Client	AS Client	ASMain	Comment	AS Client Version: 10.0.3	Input : Comment	AS Client Version: 10.0.3		
3	1	False	04/18/2025 14:11:41.909			AS Client	AS Client	ASMain	Comment	AS Client Version: 10.0.3				
4	2	False	04/18/2025 14:11:41.910			AS Client	AS Client	ASMain	Comment	Not running UL default script				
5	2	False	04/18/2025 14:11:41.910			AS Client	AS Client	ASMain	Comment	Not running UL default script	Input : Comment	Not running UL default script		
6	2	False	04/18/2025 14:11:41.910			AS Client	AS Client	ASMain	Comment	Not running UL default script				
7	1	False	04/18/2025 14:11:42.037				__init__	ASMain	GetDataResourcesList					
8	1	False	04/18/2025 14:11:42.070				__init__	ASMain	GetDataResourcesList					
9	2	False	04/18/2025 14:11:42.086			ASMain	__init__	ASMain	Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']				
10	2	False	04/18/2025 14:11:42.086			ASMain	__init__	ASMain	Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']	Input : Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']		
11	2	False	04/18/2025 14:11:42.087			ASMain	__init__	ASMain	Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']				
12	3	False	04/18/2025 14:11:42.089			ASMain	__init__	ASMain	Comment	Data Resource Class Names: ['EpochInstrumentation.InstrumentationResource', 'EpochReactorMonitorServer.ReactorMonitorSystemResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'EpochTipRackServer.EpochTipRackResource', 'EpochTipRackServer.EpochTipRackResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'Symyx.AutomationStudio.Resources.GeviCam.GeviCamResource', 'EpochTipRackServer.EpochTipRackResource']				
13	3	False	04/18/2025 14:11:42.089			ASMain	__init__	ASMain	Comment	Data Resource Class Names: ['EpochInstrumentation.InstrumentationResource', 'EpochReactorMonitorServer.ReactorMonitorSystemResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'EpochTipRackServer.EpochTipRackResource', 'EpochTipRackServer.EpochTipRackResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'Symyx.AutomationStudio.Resources.GeviCam.GeviCamResource', 'EpochTipRackServer.EpochTipRackResource']	Input : Comment	Data Resource Class Names: ['EpochInstrumentation.InstrumentationResource', 'EpochReactorMonitorServer.ReactorMonitorSystemResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'EpochTipRackServer.EpochTipRackResource', 'EpochTipRackServer.EpochTipRackResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'Symyx.AutomationStudio.Resources.GeviCam.GeviCamResource', 'EpochTipRackServer.EpochTipRackResource']		
14	3	False	04/18/2025 14:11:42.089			ASMain	__init__	ASMain	Comment	Data Resource Class Names: ['EpochInstrumentation.InstrumentationResource', 'EpochReactorMonitorServer.ReactorMonitorSystemResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'EpochTipRackServer.EpochTipRackResource', 'EpochTipRackServer.EpochTipRackResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'Symyx.AutomationStudio.Resources.GeviCam.GeviCamResource', 'EpochTipRackServer.EpochTipRackResource']				
15	4	False	04/18/2025 14:11:42.113			ASMain	__init__	ASMain	Set Value					
16	4	False	04/18/2025 14:11:42.113			ASMain	__init__	ASMain	Set Value		Input : Available Resources			
17	4	False	04/18/2025 14:11:42.113			ASMain	__init__	ASMain	Set Value		Input : Index	1		
18	4	False	04/18/2025 14:11:42.113			ASMain	__init__	ASMain	Set Value		Input : Item	local\User Items\ASMain Instances		
19	4	False	04/18/2025 14:11:42.113			ASMain	__init__	ASMain	Set Value		Input : Channel	1		
20	4	False	04/18/2025 14:11:42.113			ASMain	__init__	ASMain	Set Value		Input : Units	undefined		
21	4	False	04/18/2025 14:11:42.113			ASMain	__init__	ASMain	Set Value		Input : Value	1		
22	4	False	04/18/2025 14:11:42.140			ASMain	__init__	ASMain	Set Value					
