Index	Action Index	Error	Time	Library ID	Well Position	Script Class	Script Function	Active Script	Action	Comment	Parameter Name	Parameter Value	Message	
1	1	False	04/18/2025 14:05:27.929			AS Client	AS Client	ASMain	Comment	AS Client Version: 10.0.3				
2	1	False	04/18/2025 14:05:27.929			AS Client	AS Client	ASMain	Comment	AS Client Version: 10.0.3	Input : Comment	AS Client Version: 10.0.3		
3	1	False	04/18/2025 14:05:27.938			AS Client	AS Client	ASMain	Comment	AS Client Version: 10.0.3				
4	2	False	04/18/2025 14:05:27.938			AS Client	AS Client	ASMain	Comment	Not running UL default script				
5	2	False	04/18/2025 14:05:27.938			AS Client	AS Client	ASMain	Comment	Not running UL default script	Input : Comment	Not running UL default script		
6	2	False	04/18/2025 14:05:27.938			AS Client	AS Client	ASMain	Comment	Not running UL default script				
7	1	False	04/18/2025 14:05:28.092				__init__	ASMain	GetDataResourcesList					
8	1	False	04/18/2025 14:05:28.126				__init__	ASMain	GetDataResourcesList					
9	2	False	04/18/2025 14:05:28.143			ASMain	__init__	ASMain	Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']				
10	2	False	04/18/2025 14:05:28.143			ASMain	__init__	ASMain	Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']	Input : Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']		
11	2	False	04/18/2025 14:05:28.143			ASMain	__init__	ASMain	Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']				
