index,timestamp,well,name,value
2361,05/15/2025 15:46:45,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2375,05/15/2025 15:46:45,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2436,05/15/2025 15:46:45,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2483,05/15/2025 15:46:46,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2584,05/15/2025 15:46:51,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2631,05/15/2025 15:46:52,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2661,05/15/2025 15:46:53,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2708,05/15/2025 15:46:53,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2812,05/15/2025 15:47:04,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2859,05/15/2025 15:47:05,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2893,05/15/2025 15:47:09,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
2940,05/15/2025 15:47:10,3,Input : Substrate,"Rack 2x4 20mL Vial, Deck 10-11 Position 2, 1, 1"
3220,05/15/2025 15:47:13,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
3243,05/15/2025 15:47:13,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
3266,05/15/2025 15:47:13,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
3313,05/15/2025 15:47:13,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
3356,05/15/2025 15:47:18,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
3403,05/15/2025 15:47:18,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
3437,05/15/2025 15:47:21,3,Output : Volume Dispensed,250
3460,05/15/2025 15:47:25,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
3507,05/15/2025 15:47:25,3,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 3"
